@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
235,'2018/02/20 20:09:34:390',2,23.125357,11.426505,-0.021187,0.9,?,?
236,'2018/02/20 20:09:34:423',2,23.158182,11.446992,0.032825,0.9,?,?
237,'2018/02/20 20:09:34:455',2,23.260172,11.455623,0.10199,0.9,?,?
238,'2018/02/20 20:09:34:490',2,23.462769,11.462182,0.202597,0.9,?,?
239,'2018/02/20 20:09:34:528',2,23.760647,11.457394,0.297878,0.9,?,?
240,'2018/02/20 20:09:34:559',2,24.225536,11.410501,0.46489,0.9,?,?
241,'2018/02/20 20:09:34:591',2,25.386694,11.217813,1.161158,0.9,?,?
242,'2018/02/20 20:09:34:623',2,26.554962,10.891666,1.168268,0.9,?,?
243,'2018/02/20 20:09:34:657',2,27.647486,9.690193,1.092524,0.9,?,?
244,'2018/02/20 20:09:34:691',2,28.360334,8.827687,0.712849,0.9,?,?
245,'2018/02/20 20:09:34:723',2,28.905043,8.096346,0.544708,0.9,?,?
246,'2018/02/20 20:09:34:763',2,29.310822,7.548074,0.405779,0.9,?,?
247,'2018/02/20 20:09:34:792',2,30.484041,7.39016,1.17322,0.9,?,?
248,'2018/02/20 20:09:34:822',2,31.001223,7.123861,0.517181,0.9,?,?
249,'2018/02/20 20:09:34:858',2,31.345324,6.91598,0.344101,0.9,?,?
250,'2018/02/20 20:09:34:890',2,31.596222,6.735838,0.250898,0.9,?,?
251,'2018/02/20 20:09:34:925',2,31.78455,6.580035,0.188328,0.9,?,?
252,'2018/02/20 20:09:34:969',2,31.92845,6.444889,0.1439,0.9,?,?
253,'2018/02/20 20:09:35:003',2,32.047386,6.336295,0.118937,0.9,?,?
254,'2018/02/20 20:09:35:037',2,32.178829,6.250673,0.131443,0.9,?,?
255,'2018/02/20 20:09:35:067',2,32.444077,6.194081,0.265247,0.9,?,?
256,'2018/02/20 20:09:35:091',2,33.063034,6.207111,0.618958,0.9,?,?
257,'2018/02/20 20:09:35:123',2,33.904461,6.267438,0.841427,0.9,?,?
258,'2018/02/20 20:09:35:165',2,34.746941,6.335257,0.84248,0.9,?,?
259,'2018/02/20 20:09:35:194',2,38.277409,7.752325,3.530468,0.9,?,?
260,'2018/02/20 20:09:35:223',2,39.98745,8.459484,1.710041,0.9,?,?
261,'2018/02/20 20:09:35:258',2,40.848698,8.80128,0.861248,0.9,?,?
262,'2018/02/20 20:09:35:291',2,41.574661,9.080592,0.725964,0.9,?,?
263,'2018/02/20 20:09:35:325',2,42.025845,9.245925,0.451183,0.9,?,?
264,'2018/02/20 20:09:35:366',2,42.349243,9.362848,0.323399,0.9,?,?
265,'2018/02/20 20:09:35:405',2,42.59082,9.443197,0.241577,0.9,?,?
266,'2018/02/20 20:09:35:434',2,42.765652,9.488574,0.174831,0.9,?,?
267,'2018/02/20 20:09:35:468',2,42.886345,9.504611,0.120693,0.9,?,?
268,'2018/02/20 20:09:35:492',2,42.963787,9.49861,0.077442,0.9,?,?
269,'2018/02/20 20:09:35:522',2,43.015236,9.484834,0.051449,0.9,?,?
270,'2018/02/20 20:09:35:563',2,43.050285,9.473607,0.035049,0.9,?,?
271,'2018/02/20 20:09:35:593',2,43.068424,9.462154,0.018139,0.9,?,?
272,'2018/02/20 20:09:35:622',2,43.085358,9.469817,0.016933,0.9,?,?
273,'2018/02/20 20:09:35:657',2,43.099621,9.495388,0.014263,0.9,?,?
274,'2018/02/20 20:09:35:690',2,43.108646,9.53992,0.009026,0.9,?,?
275,'2018/02/20 20:09:35:724',2,43.114697,9.613433,0.00605,0.9,?,?
276,'2018/02/20 20:09:35:760',2,43.118145,9.711803,0.003448,0.9,?,?
277,'2018/02/20 20:09:35:790',2,43.120094,9.835361,0.001949,0.9,?,?
278,'2018/02/20 20:09:35:829',2,43.120667,9.970472,0.000572,0.9,?,?
279,'2018/02/20 20:09:35:858',2,43.117794,10.090948,-0.002872,0.9,?,?
280,'2018/02/20 20:09:35:891',2,43.114262,10.194697,-0.003532,0.9,?,?
281,'2018/02/20 20:09:35:924',2,43.110222,10.281108,-0.00404,0.9,?,?
